,returned,order_id,region
0,Yes,CA-2012-SA20830140-41210,Central US
1,Yes,IN-2012-PB19210127-41259,Eastern Asia
2,Yes,CA-2012-SC20095140-41174,Central US
3,Yes,IN-2015-JH158207-42140,Oceania
4,Yes,IN-2014-LC168857-41747,Oceania
5,Yes,ID-2013-AB1001527-41439,Eastern Asia
6,Yes,ES-2015-RA1994545-42218,Western Europe
7,Yes,CA-2014-TB21280140-41724,Central US
8,Yes,ES-2014-JF15295120-41924,Southern Europe
9,Yes,IN-2014-NM1844527-41800,Eastern Asia
10,Yes,IN-2015-GB145307-42260,Oceania
11,Yes,ES-2012-SC208458-41070,Western Europe
12,Yes,TU-2013-SF10200134-41417,Western Asia
13,Yes,ID-2015-RD1993092-42140,Oceania
14,Yes,CA-2014-TC21295140-41800,Southern US
15,Yes,SF-2015-MV8190117-42362,Southern Africa
16,Yes,IN-2014-EM1382566-41850,Eastern Asia
17,Yes,ES-2015-CC1210045-42182,Western Europe
18,Yes,ES-2015-MM1792045-42199,Western Europe
19,Yes,IN-2015-DB1306027-42353,Eastern Asia
20,Yes,IN-2013-JC157757-41310,Oceania
21,Yes,CA-2015-RB19705140-42262,Eastern US
22,Yes,ES-2015-BB1154548-42336,Western Europe
23,Yes,AL-2012-SC102302-40970,Southern Europe
24,Yes,UP-2014-MC7275137-41997,Eastern Europe
25,Yes,IN-2013-EJ13720113-41608,Southeastern Asia
26,Yes,CA-2012-AJ10780140-41212,Eastern US
27,Yes,CA-2014-EM14140140-41822,Western US
28,Yes,ES-2015-RD19585120-42007,Southern Europe
29,Yes,US-2014-SC20230140-41873,Western US
30,Yes,IN-2013-JR1570058-41441,Southern Asia
31,Yes,IN-2013-DL129257-41418,Oceania
32,Yes,ES-2014-EG1390045-41644,Western Europe
33,Yes,ES-2013-DB1297045-41458,Western Europe
34,Yes,CA-2014-CL12565140-41768,Eastern US
35,Yes,ES-2014-EB13930139-41962,Northern Europe
36,Yes,IN-2015-ML1739559-42369,Southeastern Asia
37,Yes,SA-2015-MC7575110-42326,Western Asia
38,Yes,CA-2014-SS1041023-41995,Eastern Canada
39,Yes,ID-2015-ST205307-42336,Oceania
40,Yes,MX-2012-AH1003082-41251,Central America
41,Yes,ID-2015-MM1726078-42181,Southeastern Asia
42,Yes,IT-2015-DM1301564-42167,Southern Europe
43,Yes,IN-2015-JW1595527-42190,Eastern Asia
44,Yes,CA-2013-SG20080140-41578,Western US
45,Yes,IN-2014-PF1912027-41916,Eastern Asia
46,Yes,US-2015-AG1052582-42355,Central America
47,Yes,IN-2015-PB191057-42281,Oceania
48,Yes,MX-2015-BS1136518-42199,South America
49,Yes,IT-2012-MP1817545-41040,Western Europe
50,Yes,IN-2014-BT1168027-41815,Eastern Asia
51,Yes,IN-2013-MH180257-41443,Oceania
52,Yes,ID-2015-LW172157-42293,Oceania
53,Yes,MX-2014-KA1652539-41922,Central America
54,Yes,ID-2015-CS123557-42328,Oceania
55,Yes,IN-2015-KM163757-42342,Oceania
56,Yes,MX-2013-PK1891082-41532,Central America
57,Yes,ES-2015-BT1139564-42088,Southern Europe
58,Yes,MX-2013-CC1243082-41634,Central America
59,Yes,IT-2015-AR1082545-42290,Western Europe
60,Yes,ID-2014-CS11860102-41858,Southeastern Asia
61,Yes,IN-2014-AB1060058-41858,Southern Asia
62,Yes,IN-2012-CG1204027-41252,Eastern Asia
63,Yes,AG-2013-PO88653-41634,North Africa
64,Yes,EG-2015-CM211538-42144,North Africa
65,Yes,ES-2015-BN1151545-42304,Western Europe
66,Yes,IN-2014-CL1189066-41999,Eastern Asia
67,Yes,ID-2015-AA1064559-42332,Southeastern Asia
68,Yes,ES-2014-JK1609064-41800,Southern Europe
69,Yes,IN-2015-CD1192059-42326,Southeastern Asia
70,Yes,IN-2012-ES1408027-40941,Eastern Asia
